item_id,shop_id,comment,rate_star,label
22054458454,76448301,"Ấn tượng đầu tiên là shop bọc kĩ chắc chắn lắm luôn, hàng về tay nguyên seal, còn có cáp sạc nữa, âm thanh nghe tốt, hàng chất lượng, nghe xịn lắm,",5,0
22054458454,76448301,"Hàng chuẩn chính hãng, giao hàng nhanh, dsongs gói cẩn thận, tự động kích hoạt bảo hành khi sử dụng, quá là tiện, tai nghe êm nhạc thích, săn được giá sale cũng hời, tai nghe hàng mới dc sản xuất năm 2022, bản của Việt Nam nên mọi thứ đều dễ bảo hành và sử dụng đều okila hơn bản quốc tế",5,0
22054458454,76448301,Giao khá nhanh luôn í!! Mình đặt hôm thứ 6 nay thứ 3 nhận đc mặc dù mình ở tphcm còn shop ở hà nội@@ đóng gói khá cẩn thận nguyên hộp bự luôn í bỏ cả mút bên trong rất là cẩn thân… hàng nguyên seal hi vọng là ổn !!! Vì thấy mall nên nghĩ sẽ chất lượng.,5,0
22054458454,76448301,Shopee Mall. Sản phẩm chính hãng. Hoá đơn đầy đủ. Giao hàng nhanh. Đóng gói cẩn thận.,5,0
22054458454,76448301,"hàng gói rất kĩ, mình có so với em airpods rep 1:1 thì thấy em này nặng tay hơn hẳn, chất âm ổn áp, không uổng công chờ đợi, mọi người nên sở hữu ngay 1 em nhé, thích cực ❤️",5,0
22054458454,76448301,Check được. Nghe ổn. Mua sale nên giá hời. Giao hàng khá nhanh. Đóng gói cẩn thận,5,0
22054458454,76448301,"Đeo thích lắm mn ạ, nghe ổn, dễ kích hoạt, shop tư vấn nhiệt tình, giao hàng nhanh, hoá đơn điện tử về sau 5 ngày. Nên mua nha mọi người ơi",5,0
22054458454,76448301,"Nghe đã tai xịn xò lắm. Đáng đồng tiền bát gạo, canh sale nên giá rẻ, mua ngoài chắc mắc hơn 500k. Chất lượng tốt, giao hàng nhanh đóng gói hàng cẩn thận",5,0
22054458454,76448301,Shop chuẩn bị hàng siêu tốc nhanh lun á . Mới đặt hôm 11/11 thì qua 12/11 đã nhận được hàng .,5,0
22054458454,76448301,"Hàng chuẩn FPT, săn được sale giá rẻ hơn mua trực tiếp tại cửa hàng. Cảm ơn shop.",5,0
22054458454,76448301,"Giao hàng siêu siêu nhanh, mới đặt T7 mà CN đã gọi giao. Lần đầu mua đơn giá trị cao qua shopee cũng thấy hơi rén nhưng vì là flagship store nên cũng an tâm xíu. Tai nghe ban đầu dùng ổn, chưa biết qua 1 thời gian sẽ như nào.",5,0
22054458454,76448301,"Hàng nguyên seal, chính hãng VNA, nhưng cảm giác nắp đậy hơi lệch chút xíu. Chất âm ổn. Đang đợi shop gửi hoá đơn điện tử để bảo hành.",5,0
22054458454,76448301,Check được. Nghe ổn. Mua sale nên giá hời. Giao hàng khá nhanh. Đóng gói cẩn thận,5,0
22054458454,76448301,"Hàng nguyên seal, chính hãng VNA, nhưng cảm giác nắp đậy hơi lệch chút xíu. Chất âm ổn. Đang đợi shop gửi hoá đơn điện tử để bảo hành.",5,0
22054458454,76448301,"Mua store chính hãng nên khá yên tâm, giao hàng rất kĩ lưỡng kiểm tra cmnd, đóng gói cẩn thận.",5,0
22156406930,76448301,"Đóng gói bao bì cẩn thận, mở cái hộp ra nhìn mà meeee, tai nghe đẹp bằng da nhìn chất, ngầu xịn xò Chất lượng nghe thì khỏi bàn:))",5,0
22156406930,76448301,"Sản phẩm chất lượng, chủ shop nhiệt tình tư vấn cho mình mặc dù là mình nhắn hỏi lúc ấy đã khuya lắm rồi.",5,0
22156406930,76448301,"Shop giao hàng nhanh, chưa dùng chưa biết thế nào nhưng nhìn chung có vẻ ổn",5,0
22156406930,76448301,nhận hàng thì khá ưng do ở trong nội thành nên giao một ngày là đến còn về các dải âm thì chưa nghe nhìu nên chưa biết nhưng chung quy vẫn gất đỉnh. shop tư vấn nhiệt tình,5,0
22156406930,76448301,"tai nghe đẹp nha, shop giao nhanh. k nói nhiều cho shop 5 sao ạ",5,0
22156406930,76448301,chất lượng sản phẩm tốt nhân viên shop nhiệt tình hỗ trợ. Mọi người lên tham khảo mua ở shop này nhé!,5,0
22156406930,76448301,Giao nhanh chất lượng đi đôi với giá tiền.sẽ ủng hộ shop lần sau,5,0
22156406930,76448301,Sản phẩm ở đây theo mình thấy thì vô cùng là chất lượng và ổn áp với giá tiền như vậy,5,0
22156406930,76448301,"Chất lượng sản phẩm:chưa thử
Tính năng nổi bật:chưa thử

Ship nhanh
Ngoại hình tốt
Chất lượng sẽ cập nhật sau",5,0
22156406930,76448301,"So với thế hệ thứ 3, nó nhẹ hơn và chất lượng âm thanh cũng được cải thiện, hơi khó chịu khi chuyển các phím của tai nghe sang tai phải, chức năng của các phím nhiều hơn và thậm chí còn có một phím tua nhanh.nhưng không phải là một vấn đề lớn.",5,0
22156406930,76448301,"Sản phẩm tốt, ổn áp trong tầm giá như vậy, mình đã mua ở rất nhiều nơi rồi mà không nơi nào làm mình hài lòng như nơi này cả Mọi người nên mua nha !!!",5,0
22156406930,76448301,Sản phẩm giao vô cùng nhanh luôn mọi người ạ. Đã vậy mua trúng đợt giảm giá nên được giảm rất nhiều nữa chứ,5,0
22156406930,76448301,Cũng gọi là tạm được nghe cũng được nói chung mua nghe máy tính thì cũng được,5,0
22156406930,76448301,,5,0
22156406930,76448301,,5,0
